"filename", "language", "Markdown", "JavaScript JSX", "comment", "blank", "total"
"d:\Mentora\mentora\README.md", "Markdown", 1, 0, 0, 0, 1
"d:\Mentora\mentora\src\App.jsx", "JavaScript JSX", 0, 29, 2, 1, 32
"d:\Mentora\mentora\src\components\Navbar.jsx", "JavaScript JSX", 0, 46, -7, -3, 36
"d:\Mentora\mentora\src\components\courses\CourseDetails.jsx", "JavaScript JSX", 0, 0, -1, 0, -1
"d:\Mentora\mentora\src\components\home\Feature.jsx", "JavaScript JSX", 0, 0, -1, -1, -2
"d:\Mentora\mentora\src\components\home\PopularCourses.jsx", "JavaScript JSX", 0, 0, 1, 0, 1
"d:\Mentora\mentora\src\components\home\TestimonialsSection.jsx", "JavaScript JSX", 0, 0, 1, 0, 1
"d:\Mentora\mentora\src\components\home\Trusted.jsx", "JavaScript JSX", 0, 0, -1, 0, -1
"d:\Mentora\mentora\src\components\home\UpComingLives.jsx", "JavaScript JSX", 0, 0, 1, 0, 1
"d:\Mentora\mentora\src\pages\Courses.jsx", "JavaScript JSX", 0, 0, -4, -1, -5
"d:\Mentora\mentora\src\pages\Live.jsx", "JavaScript JSX", 0, 0, -3, -2, -5
"d:\Mentora\mentora\src\pages\Pricing.jsx", "JavaScript JSX", 0, 0, -4, -4, -8
"d:\Mentora\mentora\src\pages\Signup.jsx", "JavaScript JSX", 0, 0, -3, 0, -3
"d:\Mentora\mentora\src\pages\live\Register.jsx", "JavaScript JSX", 0, 0, -1, 0, -1
"d:\Mentora\mentora\src\pages\live\Watch.jsx", "JavaScript JSX", 0, 0, 0, 1, 1
"d:\Mentora\mentora\src\pages\mentor\Dashboard.jsx", "JavaScript JSX", 0, -294, -7, -15, -316
"d:\Mentora\mentora\src\pages\mentor\MentorAnalyticsPage.jsx", "JavaScript JSX", 0, 315, 7, 14, 336
"d:\Mentora\mentora\src\pages\mentor\MentorCoursePage.jsx", "JavaScript JSX", 0, 369, 4, 18, 391
"d:\Mentora\mentora\src\pages\mentor\MentorCoursesPage.jsx", "JavaScript JSX", 0, 237, 6, 14, 257
"d:\Mentora\mentora\src\pages\mentor\MentorCreateCoursePage.jsx", "JavaScript JSX", 0, 215, 8, 17, 240
"d:\Mentora\mentora\src\pages\mentor\MentorCreateSessionPage.jsx", "JavaScript JSX", 0, 267, 9, 18, 294
"d:\Mentora\mentora\src\pages\mentor\MentorDashboard.jsx", "JavaScript JSX", 0, 289, 5, 14, 308
"d:\Mentora\mentora\src\pages\mentor\MentorEarningsPage.jsx", "JavaScript JSX", 0, 207, 5, 12, 224
"d:\Mentora\mentora\src\pages\mentor\MentorEditCoursePage.jsx", "JavaScript JSX", 0, 280, 11, 21, 312
"d:\Mentora\mentora\src\pages\mentor\MentorEditSessionPage.jsx", "JavaScript JSX", 0, 349, 13, 23, 385
"d:\Mentora\mentora\src\pages\mentor\MentorMessagesPage.jsx", "JavaScript JSX", 0, 218, 4, 9, 231
"d:\Mentora\mentora\src\pages\mentor\MentorSessionPage.jsx", "JavaScript JSX", 0, 222, 4, 13, 239
"d:\Mentora\mentora\src\pages\mentor\MentorSessionsPage.jsx", "JavaScript JSX", 0, 303, 4, 15, 322
"d:\Mentora\mentora\src\pages\mentor\MentorStudentPage.jsx", "JavaScript JSX", 0, 294, 4, 14, 312
"d:\Mentora\mentora\src\pages\mentor\MentorStudentsPage.jsx", "JavaScript JSX", 0, 116, 1, 7, 124
"d:\Mentora\mentora\src\pages\student\MyCourses.jsx", "JavaScript JSX", 0, 0, 0, -2, -2
"d:\Mentora\mentora\src\pages\student\MyLives.jsx", "JavaScript JSX", 0, 0, -2, -3, -5
"d:\Mentora\mentora\src\pages\student\Profile.jsx", "JavaScript JSX", 0, 0, -4, -3, -7
"d:\Mentora\mentora\src\pages\student\Settings.jsx", "JavaScript JSX", 0, 0, -2, -2, -4
"Total", "-", 1, 3462, 50, 175, 3688